metric_id,session_id,timestamp,unique_bee_count,unique_varroa_count,infestation_ratio,frame_count
1,1,"2025-04-11 22:45:36.633766",1,2,2.0,100
2,1,"2025-04-11 22:45:36.660873",1,3,3.0,200
3,1,"2025-04-11 22:45:39.477329",169,3,0.0177514792899408,300
4,1,"2025-04-11 22:45:42.885200",292,3,0.0102739726027397,400
5,1,"2025-04-11 22:45:46.291220",396,3,0.00757575757575758,500
6,1,"2025-04-11 22:45:51.616246",495,3,0.00606060606060606,600
7,1,"2025-04-11 22:45:54.090070",508,4,0.0078740157480315,700
8,1,"2025-04-11 22:45:56.797845",519,4,0.00770712909441233,800
9,1,"2025-04-11 22:46:03.533698",523,4,0.00764818355640535,900
10,1,"2025-04-11 22:46:06.734577",524,4,0.00763358778625954,1000
11,3,"2025-04-12 12:28:27.097497",1,2,2.0,100
12,3,"2025-04-12 12:28:27.138661",1,3,3.0,200
13,3,"2025-04-12 12:28:29.940768",169,3,0.0177514792899408,300
14,3,"2025-04-12 12:28:33.340001",292,3,0.0102739726027397,400
15,4,"2025-04-12 12:32:25.299581",1,2,2.0,100
16,4,"2025-04-12 12:32:25.331746",1,3,3.0,200
17,4,"2025-04-12 12:32:28.144820",169,3,0.0177514792899408,300
18,4,"2025-04-12 12:32:31.542400",292,3,0.0102739726027397,400
19,4,"2025-04-12 12:32:34.956600",396,3,0.00757575757575758,500
20,4,"2025-04-12 12:32:40.276950",495,3,0.00606060606060606,600
21,4,"2025-04-12 12:32:42.754948",508,4,0.0078740157480315,700
22,4,"2025-04-12 12:32:45.504083",519,4,0.00770712909441233,800
23,4,"2025-04-12 12:32:52.191715",523,4,0.00764818355640535,900
24,4,"2025-04-12 12:32:55.395380",524,4,0.00763358778625954,1000
25,4,"2025-04-12 12:32:57.296152",528,4,0.00757575757575758,1100
26,4,"2025-04-12 12:32:59.804556",528,14,0.0265151515151515,1200
27,4,"2025-04-12 12:33:06.667301",528,14,0.0265151515151515,1300
28,4,"2025-04-12 12:33:06.691851",528,14,0.0265151515151515,1400
29,4,"2025-04-12 12:33:09.846611",528,17,0.0321969696969697,1500
30,4,"2025-04-12 12:33:13.288444",528,19,0.0359848484848485,1600
31,4,"2025-04-12 12:33:15.384381",541,24,0.044362292051756,1700
32,4,"2025-04-12 12:33:19.026956",548,27,0.0492700729927007,1800
33,4,"2025-04-12 12:33:24.195773",557,28,0.0502692998204668,1900
34,4,"2025-04-12 12:33:25.730030",561,28,0.0499108734402852,2000
35,4,"2025-04-12 12:33:30.592800",574,28,0.0487804878048781,2100
36,4,"2025-04-12 12:33:32.704826",582,28,0.0481099656357388,2200
37,4,"2025-04-12 12:33:37.301197",587,28,0.0477001703577513,2300
38,4,"2025-04-12 12:33:39.379353",592,32,0.0540540540540541,2400
39,4,"2025-04-12 12:33:45.376868",592,33,0.0557432432432432,2500
40,4,"2025-04-12 12:33:49.247732",592,33,0.0557432432432432,2600
41,4,"2025-04-12 12:33:53.182461",592,33,0.0557432432432432,2700
42,4,"2025-04-12 12:33:56.784563",592,33,0.0557432432432432,2800
43,4,"2025-04-12 12:33:56.845820",592,34,0.0574324324324324,2900
44,4,"2025-04-12 12:33:59.830690",592,35,0.0591216216216216,3000
45,4,"2025-04-12 12:34:03.242376",592,35,0.0591216216216216,3100
46,4,"2025-04-12 12:34:08.095757",593,37,0.0623946037099494,3200
47,4,"2025-04-12 12:34:10.572816",601,37,0.0615640599001664,3300
48,4,"2025-04-12 12:34:12.416204",607,37,0.0609555189456343,3400
49,4,"2025-04-12 12:34:16.480282",608,39,0.0641447368421053,3500
50,4,"2025-04-12 12:34:20.643364",609,40,0.0656814449917898,3600
51,4,"2025-04-12 12:34:23.451330",617,42,0.0680713128038898,3700
52,4,"2025-04-12 12:34:26.317740",623,42,0.0674157303370786,3800
53,4,"2025-04-12 12:34:30.660394",625,42,0.0672,3900
54,4,"2025-04-12 12:34:34.031424",627,42,0.0669856459330144,4000
55,4,"2025-04-12 12:34:36.871014",627,45,0.0717703349282297,4100
56,4,"2025-04-12 12:34:39.828460",627,50,0.0797448165869219,4200
57,4,"2025-04-12 12:34:42.438268",627,67,0.106858054226475,4300
58,4,"2025-04-12 12:34:47.381593",628,72,0.114649681528662,4400
